UPC,Item,Description,Dept,Price,C/U,Case,5-Case
5041530206,2730206,XX-182612P148 FOOD BOX,273,30.5,0,0,0
2222795565,95565,XX-186GY JANITOR CART,273,228.37,0,0,0
5013830002,2730002,XX-18724 PIZZA SCR EEN 24,273,14.48,0,0,0
5013895631,95631,XX-18724 PIZZA SCR EEN 24,273,15.53,0,0,0
5013895766,95766,"XX-18724, PIZZA SC REEN 2",273,15.05,0,0,0
5013895773,95773,XX-18726 PIZZA SCR EEN 26,273,24.5,0,0,0
5013895457,95457,XX-18728 PIZZA SCR EEN 28,273,29.16,0,0,0
5013895625,95625,XX-18728 PIZZA SCR EEN 28,273,30.38,0,0,0
5013895632,95632,XX-18728 PIZZA SCR EEN 28,273,30.38,0,0,0
5013830355,2730355,"XX-18728 PIZZA SCREEN 28""",273,29.99,0,0,0
5013895759,95759,"XX-18728, 28"" PIZZ A SCRE",273,30.32,0,0,0
5041530308,2730308,XX-18CW135 FOOD PA N 1/1x,273,18.25,0,0,0
5013830231,2730231,XX-190039 PIZZA ST AND,273,4.75,0,0,0
5013895699,95699,XX-19029 PIZZA PAN RACK,273,29.11,0,0,0
5013830232,2730232,XX-19029 PIZZA RAC K,273,39,0,0,0
5013830191,2730191,XX-19030 PIZZA PAN RACK,273,34.63,0,0,0
3017495769,95769,XX-20111.0000 FILTERS,273,16.22,0,0,0
8565196069,96069,XX-202-FP FOOD PAN FOR 20,273,13.99,0,0,0
5041530244,2730244,XX-20CWL135 1/2 FL IPLID,273,7.67,0,0,0
5041596125,96125,XX-20CWLN135 1/2 F LIP LI,273,9.16,0,0,0
5041596052,96052,XX-20HPCH150 H-PAN CVR 1/,273,10.6,0,0,0
5041530385,2730385,XX-20S434151 CAM R ACK,273,30.55,0,0,0
5041530099,2730099,XX-20S638151 CAMRA CK 20C,273,41.5,0,0,0
5041596127,96127,"XX-20S638151 CAMRA CK, GR",273,39.86,0,0,0
5041530362,2730362,XX-20S800151 GLASS RACK,273,43.99,0,0,0
5041595837,95837,XX-20S958110 GLASS RACK,273,54.15,0,0,0
5041530057,2730057,XX-20S958151 GLASS RACK 2,273,50.51,0,0,0
5401995646,95646,"XX-21-140L ADD ON 14""",273,67.5,0,0,0
5401995410,95410,"XX-21-140L, 14"" AD D-ON F",273,71.45,0,0,0
5401995994,95994,XX-21-162 PRE-RINS E SPRI,273,39.83,0,0,0
5401996093,96093,XX-21-162 SPRING,273,33.19,0,0,0
5041530228,2730228,XX-21157CBP110 BUX BOX,273,12.25,0,0,0
7402195992,95992,XX-216522318 GASKET FOR,273,61.09,0,0,0
7046195748,95748,"XX-21SSFP8 FRY PAN 8"" IND",273,17.5,0,0,0
7046195898,95898,XX-21SSSP80 SS 80Q STK PO,273,199,0,0,0
5100695283,95283,XX-2234001 WASHER FOR DISP,273,2.48,0,0,0
5078095635,95635,XX-224-1145 TOMATO BLADES,273,40.56,0,0,0
5011095642,95642,"XX-22K2, GRINDER K NIFE",273,7.06,0,0,0
5011095623,95623,XX-22P2-1/8-GRINDE R PLAT,273,7,0,0,0
5011095622,95622,XX-22P2-3/8-GRINDE R PLAT,273,7,0,0,0
5130930334,2730334,XX-2339 DOF LEXING TON,273,72,0,0,0
5130995784,95784,XX-23396 DOF 12.25,273,82.72,0,0,0
5013895250,95250,"XX-24"" PIZZA PAN, HATP24",273,23,0,0,0
5013895249,95249,"XX-24"" PIZZA SCREEN-18724",273,16,0,0,0
